timestep,agent_id,x,z,collision
4,3,-0.642553091049194,22.8322143554688,0
4,4,-3.84366607666016,24.278564453125,0
4,5,-1.48697626590729,-50.776294708252,0
4,6,-7.8444242477417,-49.419361114502,0
4,7,-11.3275890350342,-48.4240379333496,0
4,8,32.4965362548828,-23.3519630432129,0
4,9,20.8751316070557,-24.0201625823975,0
5,0,-41.7537727355957,-11.3102197647095,0
5,1,-37.8101768493652,-16.53125,0
5,2,5.37834739685059,20.381908416748,0
5,3,-1.91555786132813,17.9968357086182,0
5,4,-5.11638069152832,19.4428863525391,0
5,5,-0.0380600094795227,-45.9922828674316,0
5,6,-6.38400888442993,-44.6366386413574,0
5,7,-9.87703132629395,-43.6378784179688,0
5,8,27.845006942749,-21.7478141784668,0
5,9,20.4944190979004,-23.9247608184814,0
6,0,-34.3473358154297,-13.2746648788452,0
6,1,-36.2340469360352,-16.9451198577881,0
6,2,4.31114196777344,16.1536483764648,0
6,3,-3.1889054775238,13.1611957550049,0
6,4,-6.38886833190918,14.6074371337891,0
6,5,1.41557204723358,-41.2053489685059,0
6,6,-4.92588424682617,-39.8541488647461,0
6,7,-8.42893314361572,-38.8527641296387,0
6,8,23.8660163879395,-19.7172374725342,0
6,9,20.45578956604,-23.9152164459229,0
7,0,-32.4511604309082,-13.7789630889893,0
7,1,-35.1201248168945,-17.2380867004395,0
7,2,3.08930706977844,11.3485841751099,0
7,3,-4.46114921569824,8.32558536529541,0
7,4,-7.66088390350342,9.77213954925537,0
7,5,2.81541228294373,-36.7078170776367,0
7,6,-3.46937346458435,-35.0714569091797,0
7,7,-6.98045253753662,-34.068431854248,0
7,8,22.7228660583496,-19.062650680542,0
7,9,20.4551334381104,-23.915096282959,0
8,0,-32.4505996704102,-13.7791500091553,0
8,1,-34.3338203430176,-17.4455795288086,0
8,2,1.8560619354248,6.50336217880249,0
8,3,-5.73401498794556,3.49004864692688,0
8,4,-8.93547058105469,4.93442726135254,0
8,5,3.98863887786865,-34.4457626342773,0
8,6,-2.10520815849304,-30.2620124816895,0
8,7,-6.47538900375366,-32.2226409912109,0
8,8,22.120246887207,-18.7168350219727,0
8,9,20.4551258087158,-23.9151058197021,0
9,0,-32.4505996704102,-13.7791500091553,0
9,1,-33.7781257629395,-17.5926666259766,0
9,2,0.622592210769653,1.65824794769287,0
9,3,-7.01376390457153,-1.33962464332581,0
9,4,-10.2153358459473,0.104519486427307,0
9,5,5.7337851524353,-32.6715927124023,0
9,6,-0.748657822608948,-25.4490165710449,0
9,7,-6.35488224029541,-31.7118339538574,0
9,8,21.7063789367676,-18.4802894592285,0
9,9,20.4551239013672,-23.9151191711426,0
10,0,-32.4505996704102,-13.7791500091553,0
10,1,-33.3905029296875,-17.6953620910645,0
10,2,-0.60190486907959,-3.15234565734863,0
10,3,-8.39636898040771,-6.14509010314941,0
10,4,-11.5746736526489,-4.70424652099609,0
10,5,7.84737634658813,-31.363582611084,0
10,6,0.562138497829437,-20.6237297058105,0
10,7,-6.23996877670288,-31.2248096466064,0
10,8,21.4786281585693,-18.3448963165283,0
10,9,20.4551162719727,-23.9151401519775,0
11,0,-32.4505996704102,-13.7791500091553,0
11,1,-33.3669738769531,-17.7013130187988,0
11,2,-0.805855929851532,-3.99817800521851,0
11,3,-9.80137157440186,-10.9446382522583,0
11,4,-12.9673185348511,-9.50661659240723,0
11,5,10.1638832092285,-30.4315605163574,0
11,6,1.76341390609741,-15.7691116333008,0
11,7,-6.12512493133545,-30.7381706237793,0
11,8,20.2028999328613,-17.5306930541992,0
11,9,20.4551105499268,-23.9151496887207,0
12,0,-32.4505996704102,-13.7791500091553,0
12,1,-32.755199432373,-17.8942337036133,0
12,2,-0.921970427036285,-4.48421955108643,0
12,3,-11.2058906555176,-15.7436389923096,0
12,4,-14.349063873291,-14.3114976882935,0
12,5,12.6105861663818,-29.9198360443115,0
12,6,2.9622905254364,-10.9169406890869,0
12,7,-6.0102710723877,-30.251537322998,0
12,8,18.2862739562988,-16.2247734069824,0
12,9,20.4551200866699,-23.915168762207,0
13,0,-32.4505996704102,-13.7791500091553,0
13,1,-30.6819133758545,-18.5664119720459,0
13,2,-1.03812825679779,-4.97021436691284,0
13,3,-12.6109981536865,-20.5421295166016,0
13,4,-15.6993131637573,-19.1245632171631,0
13,5,15.084080696106,-29.594612121582,0
13,6,4.16399145126343,-6.06153297424316,0
13,7,-5.89541482925415,-29.7649097442627,0
13,8,16.3443431854248,-14.6852598190308,0
13,9,20.4551200866699,-23.9151859283447,0
14,0,-32.4505996704102,-13.7791500091553,0
14,1,-28.320779800415,-19.3362712860107,0
14,2,-1.15435886383057,-5.45655727386475,0
14,3,-14.0139150619507,-25.3411731719971,0
14,4,-17.0503158569336,-23.9396305084229,0
14,5,17.5821228027344,-29.5835781097412,0
14,6,5.36483716964722,-1.20952367782593,0
14,7,-5.78053426742554,-29.278284072876,0
14,8,14.6053123474121,-12.9017858505249,0
14,9,20.4551162719727,-23.9151954650879,0
15,0,-32.4505996704102,-13.7791500091553,0
15,1,-26.1038761138916,-20.4928779602051,0
15,2,-1.2705078125,-5.94297027587891,0
15,3,-15.2919702529907,-30.1746349334717,0
15,4,-18.3954582214355,-28.7525424957275,0
15,5,20.0808525085449,-29.5856666564941,0
15,6,6.56747198104858,3.64224743843079,0
15,7,-5.58737373352051,-28.4601135253906,0
15,8,13.2698631286621,-10.7904443740845,0
15,9,20.455114364624,-23.9152164459229,0
16,0,-32.4505996704102,-13.7791500091553,0
16,1,-24.02219581604,-21.8650150299072,0
16,2,-1.60345542430878,-7.33734846115112,0
16,3,-16.5545177459717,-35.0120277404785,0
16,4,-19.6885032653809,-33.5830917358398,0
16,5,23.1400909423828,-29.8420562744141,0
16,6,7.77032136917114,8.4959077835083,0
16,7,-5.19494581222534,-26.4924011230469,0
16,8,12.4557704925537,-8.43656444549561,0
16,9,20.4551124572754,-23.9152336120605,0
